feature,importance
KLOGH,0.12265960352544522
RD,0.12155133098257712
VSH,0.11794597330625194
SW,0.11298136564893752
RHOB,0.09938152651402053
GR,0.09496475323060519
PHIF,0.09217316941624362
RT,0.08384996742136346
NPHI,0.08357193212699415
DT,0.07092037782756132
