split_id,train_wells,val_wells,val_score,test_accuracy,n_train_samples,n_val_samples
1,"['F-14', 'F-15_C', 'F-5']",['F-12'],0.31025375916724907,0.5852372583479789,3143,1001
2,"['F-12', 'F-15_C', 'F-5']",['F-14'],0.31186550262775137,0.5492091388400703,2786,1358
3,"['F-12', 'F-14', 'F-5']",['F-15_C'],0.4047673619700984,0.5527240773286467,3911,233
4,"['F-12', 'F-14', 'F-15_C']",['F-5'],0.4213537148303402,0.5483304042179262,2592,1552
