rank,trial_number,features,n_features,cv_mean,cv_std,feature_penalty,objective_value
27,190,"['VSH', 'NPHI', 'Lithology_3', 'GR_Slope', 'GR_Serration', 'OppositionIndex', 'NTG_Slope', 'BaseSharpness']",8,0.46454491292406175,0.061899118834820695,0.0038095238095238095,0.46073538911453793
28,117,"['VSH', 'NPHI', 'DT', 'KLOGH', 'Lithology_0', 'Lithology_2', 'GR_Slope', 'GR_Serration', 'NTG_Slope', 'BaseSharpness']",10,0.46517497501988353,0.0661222079645749,0.0047619047619047615,0.4604130702579788
29,313,"['VSH', 'NPHI', 'Lithology_0', 'Lithology_1', 'Lithology_4', 'GR_Slope', 'GR_Serration', 'OppositionIndex', 'BaseSharpness']",9,0.464487971480843,0.07333760615556911,0.004285714285714286,0.4602022571951287
30,137,"['VSH', 'NPHI', 'DT', 'Lithology_0', 'Lithology_3', 'Lithology_4', 'GR_Slope', 'GR_Serration', 'OppositionIndex', 'NTG_Slope', 'BaseSharpness']",11,0.4651713050964309,0.050161787416618614,0.005238095238095239,0.45993320985833563
31,388,"['VSH', 'NPHI', 'Lithology_0', 'Lithology_4', 'RelPos', 'GR_Serration']",6,0.4624582580012728,0.10008283641481722,0.002857142857142857,0.45960111514413
32,428,"['VSH', 'NPHI', 'Lithology_0', 'Lithology_4', 'RelPos', 'GR_Serration', 'BaseSharpness']",7,0.46154577054061036,0.08955416911208539,0.003333333333333333,0.458212437207277
33,127,"['VSH', 'NPHI', 'DT', 'Lithology_0', 'Lithology_1', 'Lithology_3', 'GR_Slope', 'GR_Serration', 'OppositionIndex', 'NTG_Slope', 'BaseSharpness']",11,0.46335177025216095,0.0511409458248797,0.005238095238095239,0.4581136750140657
34,169,"['VSH', 'NPHI', 'DT', 'Lithology_0', 'Lithology_2', 'GR_Slope', 'GR_Serration', 'NTG_Slope', 'BaseSharpness']",9,0.46202066943337333,0.05882105912769464,0.004285714285714286,0.45773495514765905
35,138,"['VSH', 'NPHI', 'DT', 'Lithology_0', 'Lithology_2', 'Lithology_3', 'GR_Slope', 'GR_Serration', 'OppositionIndex', 'NTG_Slope', 'BaseSharpness']",11,0.4626714903756657,0.04934304446815451,0.005238095238095239,0.4574333951375704
36,486,"['VSH', 'NPHI', 'Lithology_0', 'Lithology_2', 'Lithology_4', 'RelPos', 'GR_Slope', 'GR_Serration', 'BaseSharpness']",9,0.46143800605373053,0.08676183919076336,0.004285714285714286,0.45715229176801625
37,14,"['VSH', 'NPHI', 'DT', 'KLOGH', 'Lithology_0', 'Lithology_3', 'RelPos', 'GR_Serration', 'OppositionIndex', 'NTG_Slope']",10,0.46156832144612414,0.0730353142948255,0.0047619047619047615,0.4568064166842194
38,147,"['VSH', 'DT', 'Lithology_0', 'Lithology_3', 'GR_Slope', 'GR_Serration', 'OppositionIndex', 'NTG_Slope', 'BaseSharpness']",9,0.45990564685805313,0.03324454939237132,0.004285714285714286,0.45561993257233885
39,139,"['VSH', 'NPHI', 'DT', 'Lithology_0', 'Lithology_3', 'GR_Slope', 'GR_Serration', 'NTG_Slope', 'BaseSharpness']",9,0.45965531293659023,0.04789744538852076,0.004285714285714286,0.45536959865087595
40,80,"['VSH', 'NPHI', 'DT', 'KLOGH', 'Lithology_0', 'Lithology_2', 'Lithology_4', 'GR_Slope', 'GR_Serration', 'OppositionIndex', 'NTG_Slope', 'BaseSharpness']",12,0.46036277985283713,0.07148682438069626,0.005714285714285714,0.4546484941385514
