feature,importance
VSH,0.27931432953022844
BaseSharpness,0.188933469247448
GR_Serration,0.18728239176819397
NPHI,0.16164208447600756
OppositionIndex,0.11230570706276824
Lithology_0,0.06938850932847976
Lithology_4,0.0011335085868741173
GR_Slope,0.0
