scenario_id,feature_combination,metric,n_features,features,cv_mean_score,cv_std_score,best_params,training_wells,n_cv_splits,trained_at,rank
FC_06_relpos_f1_weighted,FC_06_relpos,f1_weighted,16,"['GR', 'VSH', 'RT', 'RD', 'NPHI', 'RHOB', 'DT', 'PHIF', 'SW', 'KLOGH', 'Lithology_0', 'Lithology_1', 'Lithology_2', 'Lithology_3', 'Lithology_4', 'RelPos']",0.30971736997920657,0.03357086824422669,"{'classifier__max_depth': 15, 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 50}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-4']",4,2025-12-30 19:37:17,1
FC_04_full_base_f1_weighted,FC_04_full_base,f1_weighted,10,"['GR', 'VSH', 'RT', 'RD', 'NPHI', 'RHOB', 'DT', 'PHIF', 'SW', 'KLOGH']",0.30063578558257215,0.058672820199689536,"{'classifier__max_depth': 15, 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 50}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-4']",4,2025-12-30 19:37:12,2
FC_04_full_base_roc_auc_ovr,FC_04_full_base,roc_auc_ovr,10,"['GR', 'VSH', 'RT', 'RD', 'NPHI', 'RHOB', 'DT', 'PHIF', 'SW', 'KLOGH']",0.15512033255692928,0.2686762972755822,"{'classifier__max_depth': 15, 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 50}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-4']",4,2025-12-30 19:37:16,3
FC_06_relpos_roc_auc_ovr,FC_06_relpos,roc_auc_ovr,16,"['GR', 'VSH', 'RT', 'RD', 'NPHI', 'RHOB', 'DT', 'PHIF', 'SW', 'KLOGH', 'Lithology_0', 'Lithology_1', 'Lithology_2', 'Lithology_3', 'Lithology_4', 'RelPos']",0.15500006671309402,0.26846799072364436,"{'classifier__max_depth': 15, 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 50}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-4']",4,2025-12-30 19:37:19,4
