scenario_id,feature_combination,metric,n_features,features,cv_mean_score,cv_std_score,best_params,training_wells,n_cv_splits,trained_at,rank
FC_19_forward_optimal_custom_sand,FC_19_forward_optimal,custom_sand,8,"['VSH', 'RelPos', 'Lithology_3', 'Lithology_0', 'OppositionIndex', 'NTG_Slope', 'Lithology_1', 'Lithology_4']",0.4802457075032207,0.060390173879070724,"{'classifier__max_depth': 15, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 200}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-03 10:32:11,1
FC_19_forward_optimal_f1_weighted,FC_19_forward_optimal,f1_weighted,8,"['VSH', 'RelPos', 'Lithology_3', 'Lithology_0', 'OppositionIndex', 'NTG_Slope', 'Lithology_1', 'Lithology_4']",0.4539492480342687,0.05452838370845854,"{'classifier__max_depth': 15, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 200}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-03 10:30:49,2
FC_19_forward_optimal_roc_auc_ovr,FC_19_forward_optimal,roc_auc_ovr,8,"['VSH', 'RelPos', 'Lithology_3', 'Lithology_0', 'OppositionIndex', 'NTG_Slope', 'Lithology_1', 'Lithology_4']",0.19264664262837786,0.3336737729399148,"{'classifier__max_depth': 15, 'classifier__max_features': 'log2', 'classifier__min_samples_leaf': 5, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 200}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-03 10:33:29,3
