Well,Depth,GR,VSH,RT,RD,NPHI,RHOB,DT,PHIF,SW,KLOGH,Equinor facies,Lithology,Lithology_0,Lithology_1,Lithology_2,Lithology_3,Lithology_4,NTG_Slope
15_9-F-4,3249.625248,-0.8672596507071962,-0.920506964172352,-0.17298785846630269,-0.5892332541764318,-0.9002607881448512,-0.1159936952579689,-0.6383323873663197,-0.08499786965435872,-0.2160687273138877,0.35293099679514006,0.0,3.0,0,0,0,1,0,-0.01486237531597783
15_9-F-4,3249.777648,-0.9269303401949989,-0.9687762209872293,-0.019849603329324866,-0.3880089333745656,-1.1064467587799054,-0.3307528436445896,-0.7260621790538198,1.1711325489083006e-05,-0.3237522188622954,0.6071805252652764,0.0,3.0,0,0,0,1,0,-0.01486237531597783
15_9-F-4,3249.930048,-0.8310019001267273,-0.8914034942928181,0.08803645764755554,-0.2352125876385403,-1.114694342760367,-0.2811152006722292,-0.7944644590477722,-0.035573722711427364,-0.3749617317994077,0.30116698365106304,0.0,3.0,0,0,0,1,0,-0.01486237531597783
15_9-F-4,3250.082448,-0.7943664935182623,-0.8622999747243721,0.24962134478065046,-0.07587114653516984,-1.0322197125812471,-0.337843936944956,-0.5421452246499162,0.025712130138878183,-0.46541592634290585,0.2610203340014935,0.0,3.0,0,0,0,1,0,-0.01486237531597783
15_9-F-4,3250.234848,-0.6686167913646227,-0.7615025109058637,0.41522372907637906,0.11688127461692618,-0.9195047475574304,-0.40369014628430905,-0.23538057160644427,0.1028139796692835,-0.5477339653239922,0.05822499400107186,0.0,3.0,0,0,0,1,0,-0.01486237531597783
15_9-F-4,3250.387248,-0.705562126930725,-0.7906059736869819,0.5150717740558237,0.2926949971383738,-0.8095389863575965,-0.40369014628430905,0.05111722670856897,0.13444539970891908,-0.5932003282095005,0.14496196619728732,0.0,3.0,0,0,0,1,0,-0.01486237531597783
15_9-F-4,3250.539648,-0.7094173767283539,-0.7941551390686343,0.5671368362181148,0.42484305030835257,-0.4933868421503816,-0.5130948896877666,0.18720048809105552,0.29853383721781235,-0.6314878085687501,0.265619488051089,0.0,3.0,0,0,0,1,0,-0.01486237531597783
15_9-F-4,3250.692048,-0.6752167911020899,-0.7664713736732071,0.5531036786724046,0.501347095348582,-0.573111856133192,-0.44015758704805175,0.19310412935513743,0.22538598191501333,-0.6180871777602865,0.1433088271201957,0.0,3.0,0,0,0,1,0,-0.01486237531597783
15_9-F-4,3250.844448,-0.6352784819717476,-0.734528494825459,0.5166286771894175,0.5636682885841693,-0.5291255571515564,-0.6042671182003789,0.17651975642035178,0.34795796439106913,-0.6161728422690964,0.14166459148437793,0.0,3.0,0,0,0,1,0,-0.01486237531597783
15_9-F-4,3250.996848,-0.5674240679922764,-0.679870720448043,0.541896540374688,0.6458796271566787,-0.46039689110937526,-0.5353825548328375,0.13265485913320954,0.32225724903256076,-0.6219159205316835,0.00741958847782189,0.0,3.0,0,0,0,1,0,-0.01486237531597783
15_9-F-4,3251.149248,-0.6464438923704705,-0.7437563787657163,0.5382440008936618,0.6727574218127186,-0.2404649563373823,-0.597176024900017,0.08420007781860428,0.42703654414467046,-0.6324450098158864,0.2165533920064115,0.0,3.0,0,0,0,1,0,-0.01486237531597783
15_9-F-4,3251.301648,-0.6202467494218025,-0.7224611948185715,0.5104045769580425,0.6888074042223766,-0.18273307809964476,-0.5708380213346516,0.145774794703817,0.42505953714602973,-0.6214373893041649,0.16086472407966368,0.0,3.0,0,0,0,1,0,-0.01486237531597783
15_9-F-4,3251.454048,-0.5509888919385802,-0.6670935646498941,0.5098352239871776,0.7098931468457511,-0.4136613883037569,-0.6194636900450878,0.2548814694795897,0.39145111010775346,-0.6166514452856316,0.016647468046779027,0.0,3.0,0,0,0,1,0,-0.01486237531597783
15_9-F-4,3251.606448,-0.4839628912209405,-0.6131455324890847,0.4371189301443174,0.7090646884883559,-0.37242429314610415,-0.5921113012357418,0.4833846197760517,0.38552040542662575,-0.5860214456832419,-0.0833742356082544,0.0,3.0,0,0,0,1,0,-0.01486237531597783
15_9-F-4,3251.758848,-0.49760816557881143,-0.6237932344881041,0.4637380628899984,0.7080172167246122,-0.21297341294434233,-0.49283600516083453,0.6017569588096827,0.3657506912943644,-0.5946361324731722,-0.07402524834723079,0.0,3.0,0,0,0,1,0,-0.01486237531597783
15_9-F-4,3251.911248,-0.5126850487574998,-0.6358605344949912,0.4380058270984494,0.7195605878115868,-0.03977698097796697,-0.4746010691577597,0.5719359218245881,0.40331311256024693,-0.5884143841909673,-0.03641931804662118,0.0,3.0,0,0,0,1,0,-0.01486237531597783
15_9-F-4,3252.063648,-0.43594792999174475,-0.5748140721930538,0.4179344356638967,0.7174659595798312,-0.03152978187834373,-0.5242387222603021,0.33508992925092285,0.4388982500520447,-0.5831499089449154,-0.12235281343935843,0.0,3.0,0,0,0,1,0,-0.01486237531597783
15_9-F-4,3252.216048,-0.3271351170606674,-0.48750356317662813,0.41881020301508165,0.7037019263599039,-0.40266462799080094,-0.5840058125612173,0.1337659902438065,0.3716813959754921,-0.5740566191384497,-0.25153430328057663,0.0,3.0,0,0,0,1,0,-0.01486237531597783
15_9-F-4,3252.368448,-0.40703420298392706,-0.5513893279705406,0.45392521356876836,0.6831896926884238,-0.28994966296698427,-0.6853098993844409,0.0831902597710183,0.47052996663679897,-0.6003792777388417,-0.14354126781210738,0.0,3.0,0,0,0,1,0,-0.01486237531597783
15_9-F-4,3252.520848,-0.5455893709246239,-0.6628344440991569,0.4225829731700996,0.6817058609373399,-0.3366851657726026,-0.713674272585893,0.25101288405754285,0.4764606713179267,-0.5908073897017752,0.052629155177243765,0.0,3.0,0,0,0,1,0,-0.01486237531597783
15_9-F-4,3252.673248,-0.6733962385960904,-0.7650516691891002,0.4353415131499281,0.6742152368110725,-0.6830780297053518,-0.6842955040102827,0.11849537310224545,0.35784268306947775,-0.5855428426667064,0.22734990942643557,0.0,3.0,0,0,0,1,0,-0.01486237531597783
15_9-F-4,3252.825648,-0.6385982621535053,-0.7373678044158498,0.42682389959637956,0.6889264810555887,-0.5016340137585165,-0.5627325326601316,0.17549452006929286,0.32818825025880777,-0.5783639649263821,0.13574330785893876,0.0,3.0,0,0,0,1,0,-0.01486237531597783
15_9-F-4,3252.978048,-0.5913779588663797,-0.6990364505960583,0.3854415316787931,0.6506709237742024,-0.3146920025360406,-0.499927098461201,0.3590073264153278,0.34004997593585656,-0.5616131943630567,0.05628921725744167,0.0,3.0,0,0,0,1,0,-0.01486237531597783
15_9-F-4,3253.130448,-0.5624077930090111,-0.6763214485901514,0.4131705924655319,0.6508536966078687,-0.02053302156538855,-0.6417489543382797,0.43351477104860103,0.5199541135797303,-0.5917645909489112,0.10695471485392348,0.0,3.0,0,0,0,1,0,-0.01486237531597783
15_9-F-4,3253.282848,-0.5676439104323974,-0.6805805691408886,0.3926916404294291,0.6431696942107693,-0.3504311299095421,-0.10383546731127538,0.3837330196954679,0.06525155840340092,-0.5314617977772021,-0.10705670719167651,0.0,2.0,0,0,1,0,0,-0.01486237531597783
15_9-F-4,3253.435248,-0.5400207492292288,-0.6578655742333976,0.3989123679702047,0.6434383598670873,-0.38616984491071693,-0.02178311271716373,0.3198193121093618,1.1711325489083006e-05,-0.5257186477255983,-0.1629630273406091,0.0,2.0,0,0,1,0,0,-0.01486237531597783
15_9-F-4,3253.587648,-0.45896063755671046,-0.5932699536482235,0.3980140140021884,0.6241146676492959,-0.353179921361199,0.11092369120552285,0.34720004533055415,-0.07906716497323099,-0.5132752229502052,-0.26123769077053777,0.0,2.0,0,0,1,0,0,-0.01486237531597783
15_9-F-4,3253.740048,-0.3595771790331778,-0.51305786767451,0.3801371143133765,0.6245188789612944,-0.38067146475423896,-0.5009390727231251,0.47024926734536143,0.32225724903256076,-0.5529985075731263,-0.23755482168996422,0.0,2.0,0,0,1,0,0,-0.01486237531597783
15_9-F-4,3253.892448,-0.3560038005279159,-0.5102185580841191,0.3258025357529372,0.5979466507270412,-0.11400402717662607,-0.6640342085012987,0.44532205068998243,0.5080921111272374,-0.551084105078854,-0.18566177148895424,0.0,2.0,0,0,1,0,0,-0.01486237531597783
15_9-F-4,3254.044848,-0.4523098966241833,-0.5875912279912027,0.3560687751736876,0.5837951694737316,-0.353179921361199,-0.7653382953245222,0.35767925506941123,0.506115400673716,-0.5654419371344539,-0.07396638373384957,0.0,2.0,0,0,1,0,0,-0.01486237531597783
15_9-F-4,3254.197248,-0.5428952545280497,-0.6607049903000276,0.3699790728747309,0.5938824350443735,-0.23496657618090433,-0.7693886236146392,0.27595441626561384,0.5436775253944792,-0.5764495576461752,0.08510710340607217,0.0,3.0,0,0,0,1,0,-0.01486237531597783
15_9-F-4,3254.349648,-0.5492303688484487,-0.665673860165787,0.36166525198994914,0.5670298090536375,-0.5098815977389772,-0.6782188060840789,0.19900776917582916,0.40331311256024693,-0.5577844563775941,0.019784862789672036,0.0,3.0,0,0,0,1,0,-0.01486237531597783
15_9-F-4,3254.502048,-0.4920057874364109,-0.6195341139373669,0.3534893698615314,0.5716756832849957,-0.21572261676832513,-0.5657732976703764,0.22048486257632977,0.41319783123865556,-0.5544342448337156,-0.060860829716418055,0.0,3.0,0,0,0,1,0,-0.01486237531597783
15_9-F-4,3254.654448,-0.5444000727701249,-0.6614148389928732,0.32640521797750355,0.5661950871972768,-0.2459633364938595,-0.6184493048011073,0.3921903892809812,0.4388982500520447,-0.5467767592909215,0.030565481495813344,0.0,3.0,0,0,0,1,0,-0.01486237531597783
15_9-F-4,3254.806848,-0.566792814204398,-0.679870720448043,0.3242519626112951,0.5307672182865899,-0.7188167721980158,-0.5981904202741751,0.5212445627361011,0.29062582899292516,-0.5290688592694767,-0.00951558633343397,0.0,3.0,0,0,0,1,0,-0.01486237531597783
15_9-F-4,3254.959248,-0.7308406618846269,-0.8111914154175203,0.34363601034425867,0.5473713669390061,-0.573111856133192,-0.6062934878364656,0.48419291444839874,0.3380729689372164,-0.545819629832802,0.3487642852625207,0.0,3.0,0,0,0,1,0,-0.01486237531597783
15_9-F-4,3255.111649,-0.8258278115555868,-0.8871444305294085,0.3593568664770117,0.5348421373668908,-0.5841086439376363,-0.5151212593238534,0.17051480353664908,0.27283312185930453,-0.5467767592909215,0.5624503816775099,0.0,3.0,0,0,0,1,0,-0.01486237531597783
15_9-F-4,3255.264049,-0.9112109155712462,-0.9559990651890804,0.36170985157252616,0.5333928760057616,-0.6473389023318511,-0.5870465775714622,0.027200930851554825,0.3024875349002994,-0.5529985075731263,0.91158297927611,0.0,3.0,0,0,0,1,0,-0.01486237531597783
15_9-F-4,3255.416449,-0.8561732550360182,-0.9119888792360288,0.35855077204652086,0.525139215325014,-0.5538678967206135,-0.5647589124263913,0.04063911972049492,0.3143495571224674,-0.5520413063259901,0.7112991057256663,0.0,3.0,0,0,0,1,0,-0.01486237531597783
