Well,Depth,GR,RT,NPHI,RHOB,RD,DT,VSH,KLOGH,PHIF,SW,Equinor facies,Lithology,Lithology_0,Lithology_1,Lithology_2,Lithology_3,Lithology_4,GR_Slope,GR_Serration,RelPos,OppositionIndex,NTG_Slope,AI_Slope,BaseSharpness,PHIF_Confidence,SW_Confidence,PHIF_Std,SW_Std,PHIF_Lower_95CI,PHIF_Upper_95CI,SW_Lower_95CI,SW_Upper_95CI
15_9-F-4,3251.91124800,-0.68150046,0.49842651,0.42783711,-0.67815241,0.88117570,0.65225095,-0.65711791,0.10197036,0.79036930,-1.01342776,0.00000000,3.00000000,-0.24714276,-0.02988739,-0.17656304,0.32471280,-0.08208864,-0.00953609,-0.64710863,-1.45798073,0.31955330,-0.00413406,-0.41870924,-0.06119205,,,,,,,,
15_9-F-4,3252.06364800,-0.59883582,0.48290877,0.43501882,-0.71759165,0.87935362,0.45113927,-0.59245639,0.02138891,0.81646718,-1.01033654,0.00000000,3.00000000,-0.24714276,-0.02988739,-0.17656304,0.32471280,-0.08208864,-0.00953609,-0.67040011,-1.04114314,-0.34166014,-0.00413406,-0.69368999,-0.06119205,,,,,,,,
15_9-F-4,3252.21604800,-0.48161780,0.48358585,0.11183247,-0.76507917,0.86738049,0.28019023,-0.49997551,-0.09974699,0.76717084,-1.00499709,0.00000000,3.00000000,-0.24714276,-0.02988739,-0.17656304,0.32471280,-0.08208864,-0.00953609,-0.68007473,0.37712311,0.34846922,-0.00413406,-0.79044856,-0.06119205,,,,,,,,
15_9-F-4,3252.36844800,-0.56768866,0.51073423,0.20998531,-0.84556962,0.84953720,0.23724515,-0.56764447,0.00152010,0.83966564,-1.02045336,0.00000000,3.00000000,-0.24714276,-0.02988739,-0.17656304,0.32471280,-0.08208864,-0.00953609,-0.65983398,1.39416889,0.72163456,-0.00413406,-0.49942328,-0.06119205,,,,,,,,
15_9-F-4,3252.52084800,-0.71694647,0.48650268,0.16928777,-0.86810634,0.84824643,0.37974741,-0.68568916,0.18547278,0.84401518,-1.01483290,0.00000000,3.00000000,-0.24714276,-0.02988739,-0.17656304,0.32471280,-0.08208864,-0.00953609,-0.63593634,1.29851069,0.81183937,-0.00413406,0.06383152,-0.06119205,,,,,,,,
15_9-F-4,3252.67324800,-0.85462573,0.49636666,-0.13235312,-0.84476364,0.84173045,0.26722358,-0.79395950,0.34931170,0.75702163,-1.01174163,0.00000000,3.00000000,-0.24714276,-0.02988739,-0.17656304,0.32471280,-0.08208864,-0.00953609,-0.65077339,0.64122050,0.46842996,-0.00413406,0.40523876,-0.06119205,,,,,,,,
15_9-F-4,3252.82564800,-0.81713979,0.48978146,0.02564937,-0.74817664,0.85452754,0.31562294,-0.76463625,0.26341048,0.73527329,-1.00752630,0.00000000,3.00000000,-0.24714276,-0.02988739,-0.17656304,0.32471280,-0.08208864,-0.00953609,-0.66297737,0.57821842,0.53778465,-0.00413406,0.69235653,-0.06119205,,,,,,,,
15_9-F-4,3252.97804800,-0.76627198,0.45778761,0.18843954,-0.69827502,0.82124960,0.47144811,-0.72403498,0.18890489,0.74397259,-0.99769050,0.00000000,3.00000000,-0.24714276,-0.02988739,-0.17656304,0.32471280,-0.08208864,-0.00953609,-0.66315535,0.94413990,-0.34564007,-0.00413406,0.71805982,-0.06119205,,,,,,,,
15_9-F-4,3253.13044800,-0.73506402,0.47922571,0.44459486,-0.81095858,0.82140859,0.53471419,-0.69997484,0.23641487,0.87591294,-1.01539495,0.00000000,3.00000000,-0.24714276,-0.02988739,-0.17656304,0.32471280,-0.08208864,-0.00953609,-0.66335683,0.97394522,-1.11523083,-0.00413406,0.82302916,-0.06119205,,,,,,,,
15_9-F-4,3253.28284800,-0.74070460,0.46339287,0.15731770,-0.38356321,0.81472439,0.49244330,-0.70448618,0.03573236,0.54243748,-0.97998606,0.00000000,2.00000000,-0.24714276,-0.02988739,5.66369939,-3.07964455,-0.08208864,-0.00953609,-0.66153717,0.74877247,-0.32499594,-0.00413406,0.48920380,-0.06119205,,,,,,,,
15_9-F-4,3253.43524800,-0.71094770,0.46820228,0.12619622,-0.31836909,0.81495810,0.43817262,-0.68042604,-0.01669204,0.49459106,-0.97661376,0.00000000,2.00000000,-0.24714276,-0.02988739,5.66369939,-3.07964455,-0.08208864,-0.00953609,-0.65770601,0.11860003,0.37973183,-0.00413406,0.07466707,-0.06119205,,,,,,,,
15_9-F-4,3253.58764800,-0.62362613,0.46750774,0.15492404,-0.21292783,0.79814870,0.46142227,-0.61200519,-0.10884604,0.43659521,-0.96930717,0.00000000,2.00000000,-0.24714276,-0.02988739,5.66369939,-3.07964455,-0.08208864,-0.00953609,-0.61893350,-0.34379382,0.59376131,-0.00413406,-0.27989417,-0.42075644,,,,,,,,
15_9-F-4,3253.74004800,-0.51656584,0.45368662,0.13098425,-0.69907908,0.79850032,0.56590634,-0.52704309,-0.08663817,0.73092354,-0.99263209,0.00000000,2.00000000,-0.24714276,-0.02988739,5.66369939,-3.07964455,-0.08208864,-0.00953609,-0.58325650,-0.94503719,0.64427928,-0.00413406,-0.66612770,-0.42075644,,,,,,,,
15_9-F-4,3253.89244800,-0.51271644,0.41167906,0.36319977,-0.82866517,0.77538553,0.54474004,-0.52403564,-0.03797708,0.86721344,-0.99150798,0.00000000,2.00000000,-0.24714276,-0.02988739,5.66369939,-3.07964455,-0.08208864,-0.00953609,-0.50927079,-1.45798073,0.27958154,-0.00413406,-0.74800028,-0.42075644,,,,,,,,
15_9-F-4,3254.04484800,-0.61646166,0.43507872,0.15492404,-0.90915562,0.76307536,0.47032042,-0.60599018,0.06676177,0.86576373,-0.99993868,0.00000000,2.00000000,-0.24714276,-0.02988739,5.66369939,-3.07964455,-0.08208864,-0.00953609,-0.46092277,-1.43480996,-0.13121787,-0.00413406,-0.65178452,-0.42075644,,,,,,,,
15_9-F-4,3254.19724800,-0.71404425,0.44583316,0.25786489,-0.91237378,0.77185013,0.40092587,-0.68343360,0.21592796,0.89331152,-1.00640219,0.00000000,3.00000000,-0.24714276,-0.02988739,-0.17656304,0.32471280,-0.08208864,-0.00953609,-0.43820481,-1.27457937,-0.33161419,-0.00413406,-0.23216284,-0.42075644,,,,,,,,
15_9-F-4,3254.34964800,-0.72086871,0.43940551,0.01846732,-0.83993544,0.74849142,0.33558861,-0.68869672,0.15467407,0.79036930,-0.99544233,0.00000000,3.00000000,-0.24714276,-0.02988739,-0.17656304,0.32471280,-0.08208864,-0.00953609,-0.42624044,-0.99706941,0.89094656,-0.00413406,0.16196305,-0.42075644,,,,,,,,
15_9-F-4,3254.50204800,-0.65922384,0.43308451,0.27462264,-0.75059266,0.75253280,0.35382533,-0.63982467,0.07905110,0.79761868,-0.99347513,0.00000000,3.00000000,-0.24714276,-0.02988739,-0.17656304,0.32471280,-0.08208864,-0.00953609,-0.41359389,-0.70994489,0.95444899,-0.00413406,0.40226781,-0.42075644,,,,,,,,
15_9-F-4,3254.65444800,-0.71566530,0.41214501,0.24828885,-0.79244601,0.74776531,0.49962466,-0.68418549,0.16478326,0.81646718,-0.98897877,0.00000000,3.00000000,-0.24714276,-0.02988739,-0.17656304,0.32471280,-0.08208864,-0.00953609,-0.39547560,-0.42435274,1.09850480,-0.00413406,0.26852495,-0.42075644,,,,,,,,
15_9-F-4,3254.80684800,-0.73978776,0.41048027,-0.16347462,-0.77634945,0.71694713,0.60920769,-0.70373429,0.12719849,0.70772529,-0.97858096,0.00000000,3.00000000,-0.24714276,-0.02988739,-0.17656304,0.32471280,-0.08208864,-0.00953609,-0.36994605,-0.05066050,1.22688542,-0.00413406,-0.08287113,-0.42075644,,,,,,,,
15_9-F-4,3254.95924800,-0.91650742,0.42546661,-0.03659395,-0.78278769,0.73139083,0.57774623,-0.84283156,0.46316423,0.74252267,-0.98841676,0.00000000,3.00000000,-0.24714276,-0.02988739,-0.17656304,0.32471280,-0.08208864,-0.00953609,-0.37101129,0.38031489,1.17602627,-0.00413406,-0.40265379,-0.42075644,,,,,,,,
15_9-F-4,3255.11164900,-1.01883181,0.43762084,-0.04617001,-0.71034744,0.72049184,0.31139454,-0.92328237,0.66354168,0.69467625,-0.98897877,0.00000000,3.00000000,-0.24714276,-0.02988739,-0.17656304,0.32471280,-0.08208864,-0.00953609,-0.39184936,0.83459703,0.94300802,-0.00413406,-0.37948105,-0.42075644,,,,,,,,
15_9-F-4,3255.26404900,-1.11081030,0.43944000,-0.10123128,-0.76749519,0.71923115,0.18970326,-0.99621445,0.99092985,0.71642458,-0.99263209,0.00000000,3.00000000,-0.24714276,-0.02988739,-0.17656304,0.32471280,-0.08208864,-0.00953609,-0.42916553,1.16952108,-0.18477595,-0.00413406,-0.18137245,-0.59613631,,,,,,,,
15_9-F-4,3255.41644900,-1.05152128,0.43699762,-0.01983620,-0.74978668,0.71205141,0.20111395,-0.94959806,0.80311992,0.72512410,-0.99207003,0.00000000,3.00000000,-0.24714276,-0.02988739,-0.17656304,0.32471280,-0.08208864,-0.00953609,-0.46388163,1.36112393,0.25425964,-0.00413406,0.20975146,-0.29671590,,,,,,,,
15_9-F-4,3255.56884900,-0.99328262,0.42455648,-0.08207953,-0.79405605,0.73101410,0.47844620,-0.90373356,0.64869959,0.73817313,-0.98869775,0.00000000,3.00000000,-0.24714276,-0.02988739,-0.17656304,0.32471280,-0.08208864,-0.00953609,-0.44216817,1.39416889,-0.06085007,-0.00413406,0.55732612,-0.29671590,,,,,,,,
15_9-F-4,3255.72124900,-0.93406030,0.42965707,-0.22093025,-0.76910523,0.72787792,0.52571879,-0.85636534,0.44688653,0.68887658,-0.98504447,0.00000000,3.00000000,-0.24714276,-0.02988739,-0.17656304,0.32471280,-0.08208864,-0.00953609,-0.40123502,1.35483781,0.35086281,-0.00413406,0.51743562,-0.29671590,,,,,,,,
15_9-F-4,3255.87364900,-0.94322232,0.43569931,-0.04377599,-0.76910523,0.73517559,0.59011257,-0.86388402,0.51368184,0.73237346,-0.99122695,0.00000000,3.00000000,-0.24714276,-0.02988739,-0.17656304,0.32471280,-0.08208864,-0.00953609,-0.36124723,1.28397765,-0.30501441,-0.00413406,0.23524235,-0.29671590,,,,,,,,
15_9-F-4,3256.02604900,-0.99677372,0.44111695,0.04240712,-0.77876355,0.72399402,0.59088494,-0.90598918,0.68550934,0.75847155,-0.99572335,0.00000000,3.00000000,-0.24714276,-0.02988739,-0.17656304,0.32471280,-0.08208864,-0.00953609,-0.31728170,1.15606568,-1.21200590,-0.00413406,-0.22421857,-0.29671590,,,,,,,,
15_9-F-4,3256.17844900,-1.05315450,0.43420369,-0.28796125,-0.69585901,0.73020407,0.42210433,-0.95034995,0.67093888,0.62798111,-0.98195321,0.00000000,3.00000000,-0.24714276,-0.02988739,-0.17656304,0.32471280,-0.08208864,-0.00953609,-0.24791077,0.89055679,-1.47274017,-0.00413406,-0.35126674,-0.29671590,,,,,,,,
15_9-F-4,3256.33084900,-0.92630081,0.44390629,-0.10362531,-0.54937038,0.73093980,0.31925102,-0.85035023,0.32912784,0.58158461,-0.97942400,0.00000000,3.00000000,-0.24714276,-0.02988739,-0.17656304,0.32471280,-0.08208864,-0.00953609,-0.19475047,0.50597759,-1.53097116,-0.00413406,-0.43655367,-0.29671590,,,,,,,,
15_9-F-4,3256.48324900,-0.81998736,0.40455124,-0.31190104,-0.27892985,0.74306660,0.03086247,-0.76689192,0.03108447,0.36410062,-0.94120491,0.00000000,3.00000000,-0.24714276,-0.02988739,-0.17656304,0.32471280,-0.08208864,-0.00953609,-0.18584117,0.01741873,-1.45911839,-0.00413406,-0.28635209,-0.29671590,,,,,,,,
15_9-F-4,3256.63564900,-0.66649764,0.40750855,-0.21614223,-0.02458586,0.74547118,-0.05166984,-0.64583967,-0.14320521,0.23071036,-0.92434351,0.00000000,3.00000000,-0.24714276,-0.02988739,-0.17656304,0.32471280,-0.08208864,-0.00953609,-0.21000917,-0.39858785,-1.15573618,-0.00413406,0.02799888,-0.29671590,,,,,,,,
15_9-F-4,3256.78804900,-0.63101527,0.38482283,-0.06532179,0.00278096,0.77697586,-0.13091912,-0.61802030,-0.15823586,0.24955907,-0.91788000,0.00000000,3.00000000,-0.24714276,-0.02988739,-0.17656304,0.32471280,-0.08208864,-0.00953609,-0.25992919,-0.68578637,-0.20723337,-0.00413406,0.26217772,-0.29671590,,,,,,,,
15_9-F-4,3256.94044900,-0.54172650,0.33234253,-0.01983620,-0.12921922,0.81382123,0.03613254,-0.54734378,-0.18205230,0.34235229,-0.90804420,0.00000000,3.00000000,-0.24714276,-0.02988739,-0.17656304,0.32471280,-0.08208864,-0.00953609,-0.30130144,-0.86243913,1.05886369,-0.00413406,0.30757450,-0.29671590,,,,,,,,
15_9-F-4,3257.09284900,-0.53125298,0.32142259,-0.06292776,-0.34331990,0.81323738,0.27837619,-0.53907322,-0.15781390,0.46414322,-0.91872308,0.00000000,3.00000000,-0.24714276,-0.02988739,-0.17656304,0.32471280,-0.08208864,-0.00953609,-0.33145177,-1.06144890,1.58109439,-0.00413406,-0.06687392,-0.29671590,,,,,,,,
15_9-F-4,3257.24524900,-0.52179345,0.37347841,0.35122971,-0.38517325,0.77795815,0.35468373,-0.53155443,-0.12837398,0.59028390,-0.95188375,0.00000000,3.00000000,-0.24714276,-0.02988739,-0.17656304,0.32471280,-0.08208864,-0.00953609,-0.35717127,-1.26810203,1.51568497,-0.00413406,-0.52244806,0.99257849,,,,,,,,
15_9-F-4,3257.39764900,-0.46779886,0.39090810,0.31292619,-0.46968783,0.77688619,0.26203860,-0.48869738,-0.14885273,0.63378078,-0.96171955,0.00000000,3.00000000,-0.24714276,-0.02988739,-0.17656304,0.32471280,-0.08208864,-0.00953609,-0.37103504,-1.42619810,0.53094880,-0.00413406,-1.06139352,-0.17055726,,,,,,,,
15_9-F-4,3257.55004900,-0.38602662,0.36994461,0.13816593,-0.63790719,0.78018911,0.08314799,-0.42478787,-0.17730987,0.69467625,-0.95975240,0.00000000,3.00000000,-0.24714276,-0.02988739,-0.17656304,0.32471280,-0.08208864,-0.00953609,-0.39239085,-1.45798073,-0.56435107,-0.00413406,-1.35467993,-0.17055726,,,,,,,,
15_9-F-4,3257.70244900,-0.41201924,0.41660619,0.41347302,-0.88983707,0.77975143,0.00769885,-0.44508856,-0.09916919,0.91650998,-0.99656639,0.00000000,3.00000000,-0.24714276,-0.02988739,-0.17656304,0.32471280,-0.08208864,-0.00953609,-0.45570536,-1.32671785,-0.94475573,-0.00413406,-1.14389467,-0.17055726,,,,,,,,
15_9-F-4,3257.85484900,-0.56488360,0.47428084,0.29856244,-0.98481403,0.73211590,-0.08581589,-0.56538892,0.05154242,0.94840753,-1.01848617,0.00000000,3.00000000,-0.24714276,-0.02988739,-0.17656304,0.32471280,-0.08208864,-0.00953609,-0.48421771,-1.00315374,-1.10694290,-0.00413406,-0.55564961,-0.17055726,,,,,,,,
15_9-F-4,3258.00724900,-0.75707360,0.52453644,0.23631912,-1.02344921,0.73871929,-0.09972696,-0.71726808,0.34182938,0.95710682,-1.03562856,0.00000000,3.00000000,-0.24714276,-0.02988739,-0.17656304,0.32471280,-0.08208864,-0.00953609,-0.48665659,-0.57981451,-1.13768452,-0.00413406,0.14202521,-0.17055726,,,,,,,,
15_9-F-4,3258.15964900,-0.79102593,0.54645741,0.28419835,-0.99044821,0.73106424,0.04910013,-0.74358378,0.40107007,0.94840753,-1.04153006,0.00000000,3.00000000,-0.24714276,-0.02988739,-0.17656304,0.32471280,-0.08208864,-0.00953609,-0.48326617,-0.12221733,-0.79705823,-0.00413406,0.77472806,-0.17055726,,,,,,,,
15_9-F-4,3258.31204900,-0.67068091,0.52046040,0.43023077,-0.97595977,0.75097048,0.17881995,-0.64884723,0.20759712,0.97450584,-1.03506655,0.00000000,3.00000000,-0.24714276,-0.02988739,-0.17656304,0.32471280,-0.08208864,-0.00953609,-0.48279546,0.27457668,-1.13508137,-0.00413406,1.14827834,-0.17055726,,,,,,,,
15_9-F-4,3258.46444900,-0.59841695,0.50091402,0.20280327,-1.00896078,0.74568697,0.33680140,-0.59170461,0.08612463,0.93970824,-1.02607379,0.00000000,3.00000000,-0.24714276,-0.02988739,-0.17656304,0.32471280,-0.08208864,-0.00953609,-0.49168218,0.60242781,-1.31890176,-0.00413406,1.23287265,-0.17055726,,,,,,,,
15_9-F-4,3258.61684900,-0.72786318,0.49254651,0.68159843,-1.04920409,0.74982582,0.58518567,-0.69395983,0.39902672,1.08034788,-1.03534758,0.00000000,3.00000000,-0.24714276,-0.02988739,-0.17656304,0.32471280,-0.08208864,-0.00953609,-0.49973584,0.85326142,-1.35291169,-0.00413406,1.19311295,-0.17055726,,,,,,,,
15_9-F-4,3258.76924900,-0.87630745,0.48264609,0.92099564,-1.18281623,0.73421956,0.76908921,-0.81125263,0.99809157,1.22098752,-1.04377824,0.00000000,3.00000000,-0.24714276,-0.02988739,-0.17656304,0.32471280,-0.08208864,-0.00953609,-0.51084875,1.07357903,-1.56033411,-0.00413406,1.13035707,-0.17055726,,,,,,,,
15_9-F-4,3258.92164900,-0.91464340,0.47668132,0.72229598,-1.24157211,0.72567407,0.88187112,-0.84132777,1.12438363,1.20938819,-1.04153006,0.00000000,3.00000000,-0.24714276,-0.02988739,-0.17656304,0.32471280,-0.08208864,-0.00953609,-0.53990587,1.28252439,-1.37351682,-0.00413406,0.95989219,-0.17055726,,,,,,,,
15_9-F-4,3259.07404900,-0.81542158,0.47043950,0.55950544,-1.30837818,0.71605396,1.10804648,-0.76313258,0.77669643,1.21083831,-1.03928188,0.00000000,3.00000000,-0.24714276,-0.02988739,-0.17656304,0.32471280,-0.08208864,-0.00953609,-0.61852036,1.39416889,-0.18742331,-0.00413406,0.84405420,-0.37268971,,,,,,,,
15_9-F-4,3259.22644900,-0.79709140,0.46171628,0.61217308,-1.28342737,0.72104297,1.18435402,-0.74884690,0.71789352,1.20793848,-1.03647164,0.00000000,3.00000000,-0.24714276,-0.02988739,-0.17656304,0.32471280,-0.08208864,-0.00953609,-0.71575838,1.18811408,1.32904027,-0.00413406,0.64280457,-0.37268971,,,,,,,,
15_9-F-4,3259.37884900,-0.80618058,0.46794598,0.93296573,-1.33091490,0.71123367,1.22782648,-0.75561379,0.90605075,1.31523066,-1.04574539,0.00000000,3.00000000,-0.24714276,-0.02988739,-0.17656304,0.32471280,-0.08208864,-0.00953609,-0.75973869,-0.05064029,1.38368428,-0.00413406,0.37462269,-0.37268971,,,,,,,,
15_9-F-4,3259.53124900,-0.73638769,0.47267632,0.76538754,-1.38162249,0.67698256,1.41363008,-0.70072673,0.67531137,1.30653116,-1.04574539,0.00000000,3.00000000,-0.24714276,-0.02988739,-0.17656304,0.32471280,-0.08208864,-0.00953609,-0.75857739,-0.80599153,1.29986586,-0.00413406,0.27180036,-0.37268971,,,,,,,,
15_9-F-4,3259.68364900,-0.70497325,0.48108717,1.02633052,-1.42589185,0.67368982,1.32505439,-0.67591482,0.70685278,1.39642475,-1.05389507,0.00000000,3.00000000,-0.24714276,-0.02988739,-0.17656304,0.32471280,-0.08208864,-0.00953609,-0.75896336,-0.78722945,1.25990899,-0.00413406,0.22919937,-0.37268971,,,,,,,,
15_9-F-4,3259.83604900,-0.68623637,0.49114802,1.01436082,-1.38162249,0.67041026,1.25090501,-0.66087724,0.61566271,1.36597671,-1.05473813,0.00000000,3.00000000,-0.24714276,-0.02988739,-0.17656304,0.32471280,-0.08208864,-0.00953609,-0.76730103,-0.61815619,1.22143280,-0.00413406,0.14928208,-0.37413329,,,,,,,,
15_9-F-4,3259.98844900,-0.76533093,0.49150729,0.57865722,-1.29549979,0.65823604,1.39557664,-0.72328309,0.62803485,1.20793848,-1.04462132,0.00000000,3.00000000,-0.24714276,-0.02988739,-0.17656304,0.32471280,-0.08208864,-0.00953609,-0.79938452,-1.02078501,1.50876501,-0.00413406,-0.03701249,-0.37413329,,,,,,,,
15_9-F-4,3260.14084900,-0.79066160,0.47411048,0.54035370,-1.27537717,0.68294909,1.36532797,-0.74358378,0.66950960,1.18618992,-1.03843880,0.00000000,3.00000000,-0.24714276,-0.02988739,-0.17656304,0.32471280,-0.08208864,-0.00953609,-0.79712331,-1.45798073,1.27602830,-0.00413406,-0.00926479,-0.37413329,,,,,,,,
15_9-F-4,3260.29324900,-0.80784414,0.44324501,0.94732946,-1.19971877,0.73068724,1.24260717,-0.75711757,0.79226396,1.23838611,-1.03338038,0.00000000,3.00000000,-0.24714276,-0.02988739,-0.17656304,0.32471280,-0.08208864,-0.00953609,-0.80242265,-1.17930809,0.68227369,-0.00413406,0.07675198,-0.77897453,,,,,,,,
15_9-F-4,3260.44564900,-0.78104423,0.43987822,0.96408721,-1.11520610,0.73420666,1.09075325,-0.73606499,0.64775626,1.18908977,-1.02860300,0.00000000,3.00000000,-0.24714276,-0.02988739,-0.17656304,0.32471280,-0.08208864,-0.00953609,-0.80409303,-0.15375531,0.48929890,-0.00413406,0.00828001,-0.77897453,,,,,,,,
15_9-F-4,3260.59804900,-0.79559171,0.42922182,0.57147553,-0.89144710,0.73711819,0.98626917,-0.74734311,0.41890593,0.95565711,-1.00724527,0.00000000,3.00000000,-0.24714276,-0.02988739,-0.17656304,0.32471280,-0.08208864,-0.00953609,-0.76739100,0.90232927,-0.26406910,-0.00413406,-0.07876163,-0.53435694,,,,,,,,
15_9-F-4,3260.75044900,-0.78169993,0.41974785,0.15253002,-0.48256431,0.73096211,0.91064891,-0.73681689,0.11764207,0.60188303,-0.97183638,0.00000000,3.00000000,-0.24714276,-0.02988739,-0.17656304,0.32471280,-0.08208864,-0.00953609,-0.74181176,1.39416889,0.01733573,-0.00413406,-0.40579551,-0.53435694,,,,,,,,
