Well,Depth,GR,RT,NPHI,RHOB,RD,DT,VSH,KLOGH,PHIF,SW,Equinor facies,Lithology,Lithology_0,Lithology_1,Lithology_2,Lithology_3,Lithology_4,GR_Slope,GR_Serration,RelPos,OppositionIndex,NTG_Slope,AI_Slope,BaseSharpness
15_9-F-4,3252.063648,-0.598835818,0.482908767,0.435018818,-0.717591653,0.879353617,0.451139273,-0.592456386,0.021388913,0.816467177,-1.010336538,0,3,-0.247142763,-0.029887387,-0.176563043,0.324712799,-0.082088638,-0.00953609,-0.670400107,-1.041143138,-0.341660137,-0.004134061,-0.693689987,-0.061192048
15_9-F-4,3252.216048,-0.481617803,0.483585847,0.111832473,-0.765079174,0.867380487,0.280190233,-0.49997551,-0.099746987,0.767170838,-1.004997095,0,3,-0.247142763,-0.029887387,-0.176563043,0.324712799,-0.082088638,-0.00953609,-0.680074727,0.377123105,0.348469225,-0.004134061,-0.790448557,-0.061192048
15_9-F-4,3252.368448,-0.567688662,0.510734227,0.209985309,-0.845569622,0.849537196,0.237245153,-0.567644471,0.001520103,0.839665642,-1.020453364,0,3,-0.247142763,-0.029887387,-0.176563043,0.324712799,-0.082088638,-0.00953609,-0.659833976,1.394168894,0.721634564,-0.004134061,-0.499423278,-0.061192048
15_9-F-4,3252.520848,-0.716946468,0.486502679,0.169287766,-0.868106335,0.848246433,0.379747414,-0.68568916,0.185472779,0.844015177,-1.014832895,0,3,-0.247142763,-0.029887387,-0.176563043,0.324712799,-0.082088638,-0.00953609,-0.63593634,1.298510691,0.811839369,-0.004134061,0.063831518,-0.061192048
15_9-F-4,3252.673248,-0.854625726,0.496366657,-0.132353119,-0.844763642,0.841730449,0.267223581,-0.7939595,0.349311699,0.757021629,-1.011741632,0,3,-0.247142763,-0.029887387,-0.176563043,0.324712799,-0.082088638,-0.00953609,-0.650773389,0.641220502,0.468429956,-0.004134061,0.405238765,-0.061192048
15_9-F-4,3252.825648,-0.817139794,0.489781456,0.025649366,-0.748176639,0.854527544,0.315622939,-0.764636248,0.263410475,0.735273289,-1.007526303,0,3,-0.247142763,-0.029887387,-0.176563043,0.324712799,-0.082088638,-0.00953609,-0.662977372,0.578218423,0.537784654,-0.004134061,0.692356527,-0.061192048
15_9-F-4,3252.978048,-0.766271977,0.45778761,0.188439538,-0.698275024,0.821249598,0.471448115,-0.724034983,0.188904888,0.74397259,-0.997690503,0,3,-0.247142763,-0.029887387,-0.176563043,0.324712799,-0.082088638,-0.00953609,-0.663155353,0.944139896,-0.345640073,-0.004134061,0.71805982,-0.061192048
15_9-F-4,3253.130448,-0.735064022,0.479225709,0.444594859,-0.81095858,0.821408589,0.534714193,-0.69997484,0.236414873,0.875912943,-1.015394949,0,3,-0.247142763,-0.029887387,-0.176563043,0.324712799,-0.082088638,-0.00953609,-0.663356832,0.973945217,-1.115230832,-0.004134061,0.823029162,-0.061192048
15_9-F-4,3253.282848,-0.740704602,0.463392868,0.157317702,-0.383563209,0.814724388,0.4924433,-0.704486178,0.035732358,0.542437481,-0.979986056,0,2,-0.247142763,-0.029887387,5.66369939,-3.079644545,-0.082088638,-0.00953609,-0.661537173,0.748772467,-0.324995943,-0.004134061,0.489203795,-0.061192048
15_9-F-4,3253.435248,-0.7109477,0.468202284,0.126196224,-0.318369089,0.814958097,0.438172621,-0.680426043,-0.016692045,0.494591064,-0.976613765,0,2,-0.247142763,-0.029887387,5.66369939,-3.079644545,-0.082088638,-0.00953609,-0.657706009,0.118600032,0.379731827,-0.004134061,0.074667073,-0.061192048
