Well,Depth,GR,VSH,RT,RD,NPHI,RHOB,DT,PHIF,SW,KLOGH,Equinor facies,Lithology_0,Lithology_1,Lithology_2,Lithology_3,Lithology_4
15_9-F-4,3254.044848,-0.452309897,-0.587591228,0.356068775,0.583795169,-0.353179921,-0.765338295,0.357679255,0.506115401,-0.565441937,-0.073966384,0,0,0,1,0,0
15_9-F-4,3254.197248,-0.542895255,-0.66070499,0.369979073,0.593882435,-0.234966576,-0.769388624,0.275954416,0.543677525,-0.576449558,0.085107103,0,0,0,0,1,0
15_9-F-4,3254.349648,-0.549230369,-0.66567386,0.361665252,0.567029809,-0.509881598,-0.678218806,0.199007769,0.403313113,-0.557784456,0.019784863,0,0,0,0,1,0
15_9-F-4,3254.502048,-0.492005787,-0.619534114,0.35348937,0.571675683,-0.215722617,-0.565773298,0.220484863,0.413197831,-0.554434245,-0.06086083,0,0,0,0,1,0
15_9-F-4,3254.654448,-0.544400073,-0.661414839,0.326405218,0.566195087,-0.245963336,-0.618449305,0.392190389,0.43889825,-0.546776759,0.030565481,0,0,0,0,1,0
15_9-F-4,3254.806848,-0.566792814,-0.67987072,0.324251963,0.530767218,-0.718816772,-0.59819042,0.521244563,0.290625829,-0.529068859,-0.009515586,0,0,0,0,1,0
15_9-F-4,3254.959248,-0.730840662,-0.811191415,0.34363601,0.547371367,-0.573111856,-0.606293488,0.484192914,0.338072969,-0.54581963,0.348764285,0,0,0,0,1,0
15_9-F-4,3255.111649,-0.825827812,-0.887144431,0.359356866,0.534842137,-0.584108644,-0.515121259,0.170514804,0.272833122,-0.546776759,0.562450382,0,0,0,0,1,0
15_9-F-4,3255.264049,-0.911210916,-0.955999065,0.361709852,0.533392876,-0.647338902,-0.587046578,0.027200931,0.302487535,-0.552998508,0.911582979,0,0,0,0,1,0
15_9-F-4,3255.416449,-0.856173255,-0.911988879,0.358550772,0.525139215,-0.553867897,-0.564758912,0.04063912,0.314349557,-0.552041306,0.711299106,0,0,0,0,1,0
15_9-F-4,3255.568849,-0.802110641,-0.868688549,0.342458798,0.546938283,-0.625345767,-0.620475674,0.367248857,0.332142264,-0.546298161,0.546622506,0,0,0,0,1,0
15_9-F-4,3255.721249,-0.747134902,-0.823968564,0.349056154,0.543333003,-0.784796619,-0.589072947,0.422921034,0.264925114,-0.54007648,0.331405452,0,0,0,0,1,0
15_9-F-4,3255.873649,-0.755639951,-0.831066895,0.356871471,0.551722236,-0.58135944,-0.589072947,0.498756549,0.324234256,-0.550605502,0.402637171,0,0,0,0,1,0
15_9-F-4,3256.026049,-0.805351407,-0.87081806,0.363878904,0.538868157,-0.482390054,-0.601228764,0.499666156,0.35981969,-0.558263055,0.585877084,0,0,0,0,1,0
15_9-F-4,3256.178449,-0.857689361,-0.912698735,0.354936964,0.546007094,-0.861772457,-0.496886333,0.300895947,0.18189254,-0.534811938,0.570338882,0,0,0,0,1,0
15_9-F-4,3256.330849,-0.739931814,-0.818289739,0.367486774,0.546852873,-0.650088106,-0.312517918,0.179767254,0.1186297,-0.530504592,0.205825477,0,0,0,0,1,0
15_9-F-4,3256.483249,-0.641241638,-0.739497365,0.316583076,0.560793556,-0.889264,0.02785453,-0.15986331,-0.177915439,-0.465415926,-0.112013302,0,0,0,0,1,0
15_9-F-4,3256.635649,-0.498758011,-0.625212832,0.320408193,0.563557804,-0.779298239,0.347968104,-0.25706029,-0.359796564,-0.436700257,-0.297878932,0,0,0,0,1,0
15_9-F-4,3256.788049,-0.465819933,-0.598948779,0.291065406,0.599774863,-0.606101807,0.382411586,-0.350390888,-0.334095849,-0.425692637,-0.313907886,0,0,0,0,1,0
15_9-F-4,3256.940449,-0.382933679,-0.532223598,0.223184872,0.642131449,-0.553867897,0.216278106,-0.153656834,-0.207569852,-0.408941871,-0.339306157,0,0,0,0,1,0
15_9-F-4,3257.092849,-0.373211166,-0.524415418,0.209060507,0.641460259,-0.603352603,-0.05318584,0.131629624,-0.041504724,-0.427128441,-0.313457895,0,0,0,0,1,0
15_9-F-4,3257.245249,-0.364429943,-0.517316988,0.276391988,0.600904079,-0.127749991,-0.105861837,0.221495783,0.130491405,-0.483602425,-0.282062643,0,0,0,0,1,0
15_9-F-4,3257.397649,-0.314307075,-0.476855968,0.298936376,0.599671775,-0.17173629,-0.212230637,0.112389109,0.189800548,-0.500353195,-0.30390155,0,0,0,0,1,0
15_9-F-4,3257.550049,-0.238398369,-0.416519468,0.271821198,0.603468742,-0.372424293,-0.423949031,-0.098287492,0.272833122,-0.497003055,-0.334248745,0,0,0,0,1,0
15_9-F-4,3257.702449,-0.262527166,-0.435685198,0.332175523,0.602965593,-0.056272149,-0.74102425,-0.187142732,0.575309242,-0.559698787,-0.250918132,0,0,0,0,1,0
15_9-F-4,3257.854849,-0.404430281,-0.549259874,0.406774669,0.548204891,-0.188231073,-0.860560852,-0.29727354,0.618802388,-0.597029066,-0.090196574,0,0,0,0,1,0
15_9-F-4,3258.007249,-0.582839154,-0.692647869,0.471777652,0.555795989,-0.259708916,-0.909186521,-0.313656391,0.630664094,-0.626223262,0.219370628,0,0,0,0,1,0
15_9-F-4,3258.159649,-0.614356911,-0.717492325,0.500131289,0.546995924,-0.204726241,-0.867651945,-0.138385114,0.618802388,-0.636273753,0.282545958,0,0,0,0,1,0
15_9-F-4,3258.312049,-0.502641319,-0.628052249,0.466505515,0.569879677,-0.03702819,-0.849417009,0.014383832,0.654388118,-0.625266132,0.076222952,0,0,0,0,1,0
15_9-F-4,3258.464449,-0.435559094,-0.57410433,0.441223295,0.563805874,-0.298197247,-0.890951595,0.200436052,0.606940682,-0.609951094,-0.053317489,0,0,0,0,1,0
15_9-F-4,3258.616849,-0.555723296,-0.670642723,0.430400353,0.568563799,0.251632824,-0.941601222,0.492954222,0.798706525,-0.62574473,0.280366893,0,0,0,0,1,0
15_9-F-4,3258.769249,-0.69352326,-0.781377983,0.417594682,0.550623203,0.526547433,-1.109763493,0.709534462,0.990472369,-0.640102495,0.919220361,0,0,0,0,1,0
15_9-F-4,3258.921649,-0.729110304,-0.809771704,0.409879557,0.540799511,0.298368326,-1.18371277,0.84235591,0.974656372,-0.636273753,1.053900469,0,0,0,0,1,0
15_9-F-4,3259.074049,-0.63700325,-0.735948199,0.401806096,0.529740458,0.111425903,-1.267793905,1.108719003,0.976633656,-0.63244501,0.683120622,0,0,0,0,1,0
15_9-F-4,3259.226449,-0.619987454,-0.722461195,0.390523059,0.535475708,0.171907397,-1.236391178,1.198585162,0.972679662,-0.627659066,0.620412155,0,0,0,0,1,0
15_9-F-4,3259.378849,-0.628424884,-0.728849769,0.398580859,0.524199157,0.540293424,-1.296158278,1.249781981,1.118975372,-0.643452635,0.821066388,0,0,0,0,1,0
15_9-F-4,3259.531249,-0.563636545,-0.677031304,0.404699306,0.484824878,0.347853033,-1.359978108,1.4685999,1.10711337,-0.643452635,0.575001789,0,0,0,0,1,0
15_9-F-4,3259.683649,-0.534474702,-0.65360656,0.415578293,0.481039616,0.647509982,-1.41569487,1.364285734,1.229685649,-0.657331864,0.608638111,0,0,0,0,1,0
15_9-F-4,3259.836049,-0.517081358,-0.639409693,0.428591483,0.477269514,0.63376443,-1.359978108,1.276961192,1.188168937,-0.658767635,0.511391393,0,0,0,0,1,0
15_9-F-4,3259.988449,-0.590504394,-0.698326595,0.42905617,0.463274315,0.133419066,-1.251585349,1.447338646,0.972679662,-0.6415383,0.524585264,0,0,0,0,1,0
15_9-F-4,3260.140849,-0.614018708,-0.717492325,0.406554306,0.491683861,0.089432767,-1.226259319,1.411715281,0.943024932,-0.631009206,0.56881468,0,0,0,0,1,0
15_9-F-4,3260.293249,-0.629969156,-0.730269481,0.366631441,0.546562532,0.55678818,-1.131036773,1.267188965,1.0141958,-0.622394524,0.699722125,0,0,0,0,1,0
15_9-F-4,3260.445649,-0.60509096,-0.710393895,0.362276667,0.55060838,0.576032139,-1.024670373,1.088353041,0.946978946,-0.61425844,0.545616521,0,0,0,0,1,0
15_9-F-4,3260.598049,-0.618595298,-0.721041483,0.348493177,0.553955406,0.125171894,-0.74305062,0.965303819,0.628687383,-0.577885362,0.301566437,0,0,0,0,1,0
15_9-F-4,3260.750449,-0.605699638,-0.711103751,0.336239089,0.546878522,-0.355929125,-0.228436783,0.876247055,0.146307125,-0.517582564,-0.019706724,0,0,0,0,1,0
15_9-F-4,3260.902849,-0.625550379,-0.726720209,0.338373758,0.534410028,-0.848026905,0.279083551,0.536313658,-0.334095849,-0.452972497,-0.185024237,0,0,0,0,1,0
