Well,Depth,GR,VSH,RT,RD,NPHI,RHOB,DT,PHIF,SW,KLOGH,Equinor facies
15_9-F-5,3599.230854,-0.046968758138126794,0.15573799158739554,-0.065042751033371,0.15765768981888137,-1.390932185701127,-0.35744503575800385,-2.8875466786837207,-0.06508479378616268,-0.26346606778788995,-0.5052277697655677,0.0
15_9-F-5,3599.383254,-0.09380663362190998,0.104605979428959,-0.027464967682231462,0.21768310848392453,-1.061065943474715,-0.35744503575800385,-3.7350487819881204,0.029888455674645594,-0.3041731377983793,-0.4981094587342287,0.0
15_9-F-5,3599.535654,-0.027204038148965732,0.17704322568307432,0.00021596893336604274,0.22185425483240734,-0.5992535617125356,-0.35744503575800385,-4.243506753525853,0.16245497100429368,-0.3396121492482471,-0.5009417925267032,0.0
15_9-F-5,3599.688054,-0.05922240667948858,0.14153477915638102,0.07576161930542702,0.2609022641538112,-0.36559863895886413,-0.25706506589428324,-4.2694227753018845,0.16245497100429368,-0.38223480551659206,-0.497594928834779,0.0
15_9-F-5,3599.840454,-0.12283644892605305,0.0726483377854431,-0.13836369128877152,0.2999381201079427,0.18417783582715921,-0.25605217053769747,-3.9088373115079156,0.3207435288403482,-0.28836918241334025,-0.4834386082190293,0.0
15_9-F-5,3599.992854,-0.16995612170469526,0.020805829450367554,-0.008378476666449952,0.3279792903046545,-0.1869211025399036,-0.1526311217304514,-3.640971777119951,0.14464751269960244,-0.33578090489661444,-0.4840561256542184,0.0
15_9-F-5,3600.145254,-0.21775834453935278,-0.031036472935553498,-0.01938496189193352,0.32548708673426974,-0.2968766448965838,-0.05630753931919863,-3.407743003645431,0.0476959337654016,-0.3151879503435064,-0.4809581203383654,0.0
15_9-F-5,3600.297654,-0.25810564098903077,-0.0757771655551197,-0.02121772785278342,0.37330160961269543,0.12370262839248511,0.24584284233689588,-2.5432334252355484,-0.03342683291453586,-0.3017785639838927,-0.4782210786154877,0.0
15_9-F-5,3600.450054,-0.3083606804264364,-0.1304601885458886,-0.008178830039471301,0.41681558275169805,-0.43706959854878685,0.5550907005282801,-1.6730355958463312,-0.4014476774502907,-0.24287311323478186,-0.4870893448058723,0.0
15_9-F-5,3600.602454,-0.2976690685656685,-0.11909749787226198,0.052052744403148395,0.4608835096272746,-0.41232962350959873,0.7578764208295965,-1.2184017675442418,-0.5300572172561184,-0.25340908189512074,-0.4934397024964162,0.0
15_9-F-5,3600.754854,-0.334531440712368,-0.15886702530622704,0.17770229181690497,0.4676616952970983,-0.48380058309952145,0.7548353418860755,-0.919798306387022,-0.5478646755608096,-0.3247660923514874,-0.4893874587140391,0.0
15_9-F-5,3600.907254,-0.3597774334778301,-0.1865635789407762,0.2220011610602034,0.48028359750686106,-0.6487334843020828,0.6585117594748228,-0.9377740182629666,-0.5300572172561184,-0.3535004465395091,-0.4851112580742075,0.0
15_9-F-5,3601.059654,-0.28185714201207596,-0.10134327460891533,0.30039532646193035,0.5107981347002007,-0.10170592006604064,0.5550907005282801,-0.5015774379832296,-0.3044960985160899,-0.4306043594412855,-0.48685769495911585,0.0
15_9-F-5,3601.212054,-0.23590477564341467,-0.0530517771061719,0.41414120340098404,0.5545980938525491,-0.7119580421080284,0.3523049802269594,-0.41162948308475,-0.34604665648578703,-0.47849492580934777,-0.49426123073797135,0.0
15_9-F-5,3601.364454,-0.13187567716172025,0.06270579436339094,0.4230011140426949,0.6170626873954801,-0.33261190478090036,0.3492639012834384,-0.5629233133469383,-0.23326622572519431,-0.4962144674522424,-0.5019858454511836,0.0
15_9-F-5,3601.516854,-0.13241152149094151,0.061995724288451313,0.5551292191988295,0.6289662771140524,-0.16493006553952727,0.25294031887218565,-0.08311093124418084,-0.12048551795969427,-0.5694871360023862,-0.49865332094672604,0.0
15_9-F-5,3601.669254,-0.1784147615514866,0.011573682781224417,0.6723374311661184,0.695750830723194,-0.021988173848511663,0.3512920950096746,-0.008019181706945114,-0.1462075406800359,-0.6145042894602349,-0.4942982535374081,0.0
15_9-F-5,3601.821654,-0.24408699670796807,-0.05944330969589195,0.823663537980751,0.7561556997804706,-1.2452413834601304,0.5571188942545163,-0.44840264131470453,-0.6329447343416044,-0.6130675470871676,-0.5024508408941947,0.0
15_9-F-5,3601.974054,-0.29976114193221554,-0.12122804187674545,0.8830196186469577,0.7969131992029054,-1.1517790020262022,0.7528071380205429,-0.7298256879296791,-0.7397895237418836,-0.6226456890951486,-0.4999060815368495,0.0
15_9-F-5,3602.126454,-0.38032602177612757,-0.20928906681345394,0.8709918723264851,0.7784293226517514,-1.0940527051415092,0.5601599833373337,-1.0471406758045552,-0.5933725256313641,-0.6389284883649757,-0.4846881090911228,3.0
15_9-F-5,3602.278854,-0.5276740838403113,-0.37191788200876125,0.8702150990647053,0.7815537756643276,-1.099550553730303,0.35433318409249204,-1.068377990056237,-0.45684871820085865,-0.6585636497891559,-0.4460969735919524,3.0
15_9-F-5,3602.431254,-0.5871264588072468,-0.43583305877036804,0.9973962368794834,0.8356809149849802,-0.9731018504508707,-0.05529465410191385,-1.0303777388702737,-0.1481861867304643,-0.734230820317865,-0.3945324120980204,3.0
15_9-F-5,3602.583654,-0.6139851476618152,-0.46495007923276604,1.191539665806761,1.0479469898336369,-0.860397370055378,-0.2580803744032301,-0.7687930742782649,0.02197389125899572,-0.8065456574265895,-0.356347865997945,3.0
15_9-F-5,3602.736054,-0.7090536418602235,-0.5693449600287023,1.2309955009029445,1.0546982371750466,-0.967604001862077,-0.3554168420317722,-0.5756866298480897,0.0556104783949867,-0.8209128321260696,-0.28657292011023217,3.0
15_9-F-5,3602.888454,-0.9257787085365423,-0.809382293189151,1.1258044106684983,0.9972793038594707,-1.1462815382810376,-0.457825005621729,-0.5507382947604931,0.07143931043531432,-0.7964886380103902,-0.03094456771092776,3.0
15_9-F-5,3603.040854,-1.0851040003598502,-0.980533128165102,1.193480095945831,1.0600109606508874,-0.9621061257844526,-0.45883789083901827,-0.8495730747948377,0.12486170513545387,-0.8209128321260696,0.3364144702827942,3.0
15_9-F-5,3603.193254,-1.1317050368918007,-1.032375480262888,1.2232307139859224,1.0466157132477614,-0.5002937440222734,-0.45883789083901827,-0.9789642730902309,0.2594068665155309,-0.8381534628373161,0.6105402196461917,3.0
