scenario_id,v7_combo_name,v7_rank,v7_cv_score,metric,n_features,features,cv_mean_score,cv_std_score,best_params,training_wells,n_cv_splits,trained_at,final_rank
V7_Rank_13_custom_sand,V7_Rank_13,13,0.4716621052065306,custom_sand,7,"['VSH', 'NPHI', 'Lithology_0', 'Lithology_2', 'Lithology_4', 'RelPos', 'GR_Serration']",0.4842596884810016,0.10246513568431459,"{'classifier__max_depth': 15, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 5, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-06 02:16:53,12
V7_Rank_07_custom_sand,V7_Rank_07,7,0.4749483309282719,custom_sand,9,"['VSH', 'NPHI', 'Lithology_0', 'Lithology_3', 'GR_Slope', 'GR_Serration', 'OppositionIndex', 'NTG_Slope', 'BaseSharpness']",0.48350215667197316,0.06515976126024066,"{'classifier__max_depth': 25, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 8, 'classifier__n_estimators': 100}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-06 00:07:56,13
V7_Rank_06_custom_sand,V7_Rank_06,6,0.4753151086348602,custom_sand,9,"['VSH', 'NPHI', 'Lithology_0', 'Lithology_2', 'Lithology_4', 'GR_Slope', 'GR_Serration', 'NTG_Slope', 'BaseSharpness']",0.4830161701534159,0.05124003424501458,"{'classifier__max_depth': 25, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-05 23:47:23,14
V7_Rank_10_custom_sand,V7_Rank_10,10,0.4748735842809529,custom_sand,10,"['VSH', 'NPHI', 'Lithology_0', 'Lithology_2', 'Lithology_4', 'GR_Slope', 'GR_Serration', 'OppositionIndex', 'NTG_Slope', 'BaseSharpness']",0.4828757498007481,0.060456493859697896,"{'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 100}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-06 01:16:29,15
V7_Rank_23_custom_sand,V7_Rank_23,23,0.4697221073265735,custom_sand,10,"['VSH', 'NPHI', 'Lithology_0', 'Lithology_1', 'Lithology_3', 'GR_Slope', 'GR_Serration', 'OppositionIndex', 'NTG_Slope', 'BaseSharpness']",0.48251574467021835,0.05686150826166303,"{'classifier__max_depth': 25, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 8, 'classifier__n_estimators': 200}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-06 05:54:19,16
V7_Rank_22_custom_sand,V7_Rank_22,22,0.4683726203373242,custom_sand,7,"['VSH', 'NPHI', 'Lithology_0', 'Lithology_4', 'RelPos', 'GR_Slope', 'GR_Serration']",0.48175354590553143,0.08198657873075876,"{'classifier__max_depth': 15, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 5, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-06 05:33:27,17
V7_Rank_26_custom_sand,V7_Rank_26,26,0.466758347768646,custom_sand,10,"['VSH', 'NPHI', 'Lithology_0', 'Lithology_1', 'Lithology_4', 'GR_Slope', 'GR_Serration', 'OppositionIndex', 'NTG_Slope', 'BaseSharpness']",0.48145471065960826,0.0586924390129804,"{'classifier__max_depth': 15, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 8, 'classifier__n_estimators': 100}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-06 06:53:10,18
V7_Rank_03_custom_sand,V7_Rank_03,3,0.4781763236089739,custom_sand,9,"['VSH', 'NPHI', 'Lithology_0', 'Lithology_4', 'GR_Slope', 'GR_Serration', 'OppositionIndex', 'NTG_Slope', 'BaseSharpness']",0.48058243839773823,0.06763824533794989,"{'classifier__max_depth': 20, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 300}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-05 22:47:37,19
V7_Rank_20_custom_sand,V7_Rank_20,20,0.471484492084681,custom_sand,12,"['VSH', 'NPHI', 'DT', 'KLOGH', 'Lithology_0', 'Lithology_1', 'Lithology_3', 'GR_Slope', 'GR_Serration', 'OppositionIndex', 'NTG_Slope', 'BaseSharpness']",0.480307616310602,0.05348721851824387,"{'classifier__max_depth': 20, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 100}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-06 04:50:44,20
V7_Rank_27_custom_sand,V7_Rank_27,27,0.4645449129240617,custom_sand,8,"['VSH', 'NPHI', 'Lithology_3', 'GR_Slope', 'GR_Serration', 'OppositionIndex', 'NTG_Slope', 'BaseSharpness']",0.47793918135659547,0.06530758268251648,"{'classifier__max_depth': 20, 'classifier__max_features': 'log2', 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 300}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-06 07:14:49,21
