scenario_id,feature_combination,metric,n_features,features,cv_mean_score,cv_std_score,best_params,training_wells,n_cv_splits,trained_at,rank
FC_10_fc3_rt_f1_weighted,FC_10_fc3_rt,f1_weighted,8,"['GR', 'VSH', 'NPHI', 'RHOB', 'DT', 'PHIF', 'KLOGH', 'RT']",0.3689135368533345,0.06316566894119459,"{'classifier__max_depth': 25, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 200}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-05 12:44:42,11
FC_07_fc6_opposition_f1_weighted,FC_07_fc6_opposition,f1_weighted,16,"['GR', 'VSH', 'NPHI', 'RHOB', 'DT', 'PHIF', 'KLOGH', 'Lithology_0', 'Lithology_1', 'Lithology_2', 'Lithology_3', 'Lithology_4', 'RelPos', 'GR_Slope', 'GR_Serration', 'OppositionIndex']",0.368677598250408,0.04462510697949183,"{'classifier__max_depth': 15, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 8, 'classifier__n_estimators': 100}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-05 12:33:38,12
FC_09_fc6_all_eng_f1_weighted,FC_09_fc6_all_eng,f1_weighted,18,"['GR', 'VSH', 'NPHI', 'RHOB', 'DT', 'PHIF', 'KLOGH', 'Lithology_0', 'Lithology_1', 'Lithology_2', 'Lithology_3', 'Lithology_4', 'RelPos', 'GR_Slope', 'GR_Serration', 'OppositionIndex', 'NTG_Slope', 'BaseSharpness']",0.3656230296333795,0.04113370704361608,"{'classifier__max_depth': 25, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 8, 'classifier__n_estimators': 100}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-05 12:41:04,13
FC_08_fc6_ntg_f1_weighted,FC_08_fc6_ntg,f1_weighted,17,"['GR', 'VSH', 'NPHI', 'RHOB', 'DT', 'PHIF', 'KLOGH', 'Lithology_0', 'Lithology_1', 'Lithology_2', 'Lithology_3', 'Lithology_4', 'RelPos', 'GR_Slope', 'GR_Serration', 'OppositionIndex', 'NTG_Slope']",0.36543718849380963,0.04433434066437868,"{'classifier__max_depth': 15, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 200}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-05 12:37:15,14
FC_15_fc6_all_fluid_custom_sand,FC_15_fc6_all_fluid,custom_sand,18,"['GR', 'VSH', 'NPHI', 'RHOB', 'DT', 'PHIF', 'KLOGH', 'Lithology_0', 'Lithology_1', 'Lithology_2', 'Lithology_3', 'Lithology_4', 'RelPos', 'GR_Slope', 'GR_Serration', 'RT', 'RD', 'SW']",0.3612301532594744,0.060061769464142475,"{'classifier__max_depth': 15, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-05 13:01:18,15
FC_06_fc3_lith_relpos_grtex_f1_weighted,FC_06_fc3_lith_relpos_grtex,f1_weighted,15,"['GR', 'VSH', 'NPHI', 'RHOB', 'DT', 'PHIF', 'KLOGH', 'Lithology_0', 'Lithology_1', 'Lithology_2', 'Lithology_3', 'Lithology_4', 'RelPos', 'GR_Slope', 'GR_Serration']",0.35881652824512833,0.05378199038298759,"{'classifier__max_depth': 20, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 8, 'classifier__n_estimators': 100}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-05 12:29:50,16
FC_05_fc3_lith_relpos_f1_weighted,FC_05_fc3_lith_relpos,f1_weighted,13,"['GR', 'VSH', 'NPHI', 'RHOB', 'DT', 'PHIF', 'KLOGH', 'Lithology_0', 'Lithology_1', 'Lithology_2', 'Lithology_3', 'Lithology_4', 'RelPos']",0.35557929523424414,0.0459140076990574,"{'classifier__max_depth': 20, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-05 12:26:48,17
FC_18_tidal_optimized_custom_sand,FC_18_tidal_optimized,custom_sand,13,"['GR', 'RT', 'NPHI', 'RHOB', 'VSH', 'PHIF', 'SW', 'GR_Slope', 'GR_Serration', 'RelPos', 'BaseSharpness', 'OppositionIndex', 'NTG_Slope']",0.35468941239671825,0.08527814232277137,"{'classifier__max_depth': 15, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 8, 'classifier__n_estimators': 200}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-05 13:12:30,18
FC_14_fc6_rt_rd_custom_sand,FC_14_fc6_rt_rd,custom_sand,17,"['GR', 'VSH', 'NPHI', 'RHOB', 'DT', 'PHIF', 'KLOGH', 'Lithology_0', 'Lithology_1', 'Lithology_2', 'Lithology_3', 'Lithology_4', 'RelPos', 'GR_Slope', 'GR_Serration', 'RT', 'RD']",0.354070890934481,0.06142521831260695,"{'classifier__max_depth': 15, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 5, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-05 12:57:45,19
FC_04_fc3_lith_custom_sand,FC_04_fc3_lith,custom_sand,12,"['GR', 'VSH', 'NPHI', 'RHOB', 'DT', 'PHIF', 'KLOGH', 'Lithology_0', 'Lithology_1', 'Lithology_2', 'Lithology_3', 'Lithology_4']",0.34887588488019683,0.05843321864702314,"{'classifier__max_depth': 20, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-05 12:22:08,20
