Proportion_Facies_0,Proportion_Facies_1,Proportion_Facies_2,Proportion_Facies_3,Proportion_Facies_4,Proportion_Facies_5,Proportion_Facies_6,Well,Depth,True_Facies,HDG_Prediction,Max_Proportion,Vote_Agreement,Prediction_Entropy,HDG_Uncertainty,Prediction_Range,Normalized_Range
0.0,0.0,0.0,1.0,0.0,0.0,0.0,15_9-F-4,3249.625248,0,3,1.0,100.0,-1.000000082690371e-10,0.0,1.0,0.14285714285714285
0.0,0.0,0.0,1.0,0.0,0.0,0.0,15_9-F-4,3249.777648,0,3,1.0,100.0,-1.000000082690371e-10,0.0,1.0,0.14285714285714285
0.0,0.0,0.0,1.0,0.0,0.0,0.0,15_9-F-4,3249.930048,0,3,1.0,100.0,-1.000000082690371e-10,0.0,1.0,0.14285714285714285
0.0,0.0,0.0,1.0,0.0,0.0,0.0,15_9-F-4,3250.082448,0,3,1.0,100.0,-1.000000082690371e-10,0.0,1.0,0.14285714285714285
0.0,0.0,0.0,1.0,0.0,0.0,0.0,15_9-F-4,3250.234848,0,3,1.0,100.0,-1.000000082690371e-10,0.0,1.0,0.14285714285714285
0.0,0.0,0.0,1.0,0.0,0.0,0.0,15_9-F-4,3250.387248,0,3,1.0,100.0,-1.000000082690371e-10,0.0,1.0,0.14285714285714285
0.0,0.0,0.0,1.0,0.0,0.0,0.0,15_9-F-4,3250.539648,0,3,1.0,100.0,-1.000000082690371e-10,0.0,1.0,0.14285714285714285
0.0,0.0,0.0,1.0,0.0,0.0,0.0,15_9-F-4,3250.692048,0,3,1.0,100.0,-1.000000082690371e-10,0.0,1.0,0.14285714285714285
0.0,0.0,0.0,1.0,0.0,0.0,0.0,15_9-F-4,3250.844448,0,3,1.0,100.0,-1.000000082690371e-10,0.0,1.0,0.14285714285714285
0.0,0.0,0.0,1.0,0.0,0.0,0.0,15_9-F-4,3250.996848,0,3,1.0,100.0,-1.000000082690371e-10,0.0,1.0,0.14285714285714285
0.0,0.0,0.0,1.0,0.0,0.0,0.0,15_9-F-4,3251.149248,0,3,1.0,100.0,-1.000000082690371e-10,0.0,1.0,0.14285714285714285
0.0,0.0,0.0,1.0,0.0,0.0,0.0,15_9-F-4,3251.301648,0,3,1.0,100.0,-1.000000082690371e-10,0.0,1.0,0.14285714285714285
0.0,0.0,0.0,1.0,0.0,0.0,0.0,15_9-F-4,3251.454048,0,3,1.0,100.0,-1.000000082690371e-10,0.0,1.0,0.14285714285714285
0.0,0.0,0.0,1.0,0.0,0.0,0.0,15_9-F-4,3251.606448,0,3,1.0,100.0,-1.000000082690371e-10,0.0,1.0,0.14285714285714285
0.0,0.0,0.0,1.0,0.0,0.0,0.0,15_9-F-4,3251.758848,0,3,1.0,100.0,-1.000000082690371e-10,0.0,1.0,0.14285714285714285
0.0,0.0,0.0,1.0,0.0,0.0,0.0,15_9-F-4,3251.911248,0,3,1.0,100.0,-1.000000082690371e-10,0.0,1.0,0.14285714285714285
0.0,0.0,0.0,1.0,0.0,0.0,0.0,15_9-F-4,3252.063648,0,3,1.0,100.0,-1.000000082690371e-10,0.0,1.0,0.14285714285714285
0.0,0.0,0.0,1.0,0.0,0.0,0.0,15_9-F-4,3252.216048,0,3,1.0,100.0,-1.000000082690371e-10,0.0,1.0,0.14285714285714285
